date,home_team,score,away_team
08-10-2023,Villarreal,01-Feb,Las Palmas
22-10-2023,Las Palmas,0 - 1,Vallecano
28-10-2023,Almeria,01-Feb,Las Palmas
03-11-2023,Las Palmas,02-Jan,Ath Madrid
11-11-2023,Osasuna,01-Jan,Las Palmas
26-11-2023,Betis,1 - 0,Las Palmas
01-12-2023,Las Palmas,2 - 0,Getafe
09-12-2023,Alaves,0 - 1,Las Palmas
17-12-2023,Las Palmas,01-Jan,Cadiz
20-12-2023,Ath Bilbao,1 - 0,Las Palmas
04-01-2024,Las Palmas,01-Feb,Barcelona
13-01-2024,Las Palmas,3 - 0,Villarreal
20-01-2024,Vallecano,0 - 2,Las Palmas
27-01-2024,Las Palmas,01-Feb,Real Madrid
03-02-2024,Granada,01-Jan,Las Palmas
10-02-2024,Las Palmas,2 - 0,Valencia
17-02-2024,Ath Madrid,5 - 0,Las Palmas
25-02-2024,Las Palmas,01-Jan,Osasuna
02-03-2024,Getafe,03-Mar,Las Palmas
10-03-2024,Las Palmas,0 - 2,Ath Bilbao
17-03-2024,Las Palmas,0 - 1,Almeria
30-03-2024,Barcelona,1 - 0,Las Palmas
14-04-2024,Las Palmas,0 - 2,Sevilla
20-04-2024,Celta,04-Jan,Las Palmas
27-04-2024,Las Palmas,0 - 2,Girona
04-05-2024,Sociedad,2 - 0,Las Palmas
11-05-2024,Mallorca,1 - 0,Las Palmas
16-05-2024,Las Palmas,02-Feb,Betis
19-05-2024,Cadiz,0 - 0,Las Palmas
26-05-2024,Las Palmas,01-Jan,Alaves
12-08-2023,Las Palmas,01-Jan,Mallorca
18-08-2023,Mallorca,0 - 1,Villarreal
26-08-2023,Granada,03-Feb,Mallorca
03-09-2023,Mallorca,0 - 0,Ath Bilbao
16-09-2023,Celta,0 - 1,Mallorca
23-09-2023,Girona,05-Mar,Mallorca
26-09-2023,Mallorca,02-Feb,Barcelona
30-09-2023,Vallecano,02-Feb,Mallorca
07-10-2023,Mallorca,01-Jan,Valencia
21-10-2023,Sociedad,1 - 0,Mallorca
28-10-2023,Mallorca,0 - 0,Getafe
04-11-2023,Betis,2 - 0,Mallorca
25-11-2023,Ath Madrid,1 - 0,Mallorca
29-11-2023,Mallorca,01-Jan,Cadiz
03-12-2023,Mallorca,0 - 0,Alaves
