date,home_team,score,away_team
07-12-2023,Everton,3 - 0,Newcastle
10-12-2023,Everton,2 - 0,Chelsea
16-12-2023,Burnley,0 - 2,Everton
23-12-2023,Tottenham,02-Jan,Everton
27-12-2023,Everton,01-Mar,Man City
30-12-2023,Wolves,3 - 0,Everton
14-01-2024,Everton,0 - 0,Aston Villa
30-01-2024,Fulham,0 - 0,Everton
03-02-2024,Everton,02-Feb,Tottenham
10-02-2024,Man City,2 - 0,Everton
19-02-2024,Everton,01-Jan,Crystal Palace
24-02-2024,Brighton,01-Jan,Everton
02-03-2024,Everton,01-Mar,West Ham
09-03-2024,Man United,2 - 0,Everton
30-03-2024,Bournemouth,02-Jan,Everton
02-04-2024,Newcastle,01-Jan,Everton
06-04-2024,Everton,1 - 0,Burnley
15-04-2024,Chelsea,6 - 0,Everton
21-04-2024,Everton,2 - 0,Nott'm Forest
24-04-2024,Everton,2 - 0,Liverpool
27-04-2024,Everton,1 - 0,Brentford
03-05-2024,Luton,01-Jan,Everton
11-05-2024,Everton,1 - 0,Sheffield United
19-05-2024,Arsenal,02-Jan,Everton
12-08-2023,Everton,0 - 1,Fulham
19-08-2023,Fulham,0 - 3,Brentford
26-08-2023,Arsenal,02-Feb,Fulham
02-09-2023,Man City,05-Jan,Fulham
16-09-2023,Fulham,1 - 0,Luton
23-09-2023,Crystal Palace,0 - 0,Fulham
02-10-2023,Fulham,0 - 2,Chelsea
07-10-2023,Fulham,03-Jan,Sheffield United
23-10-2023,Tottenham,2 - 0,Fulham
29-10-2023,Brighton,01-Jan,Fulham
04-11-2023,Fulham,0 - 1,Man United
12-11-2023,Aston Villa,03-Jan,Fulham
27-11-2023,Fulham,03-Feb,Wolves
03-12-2023,Liverpool,04-Mar,Fulham
06-12-2023,Fulham,5 - 0,Nott'm Forest
10-12-2023,Fulham,5 - 0,West Ham
16-12-2023,Newcastle,3 - 0,Fulham
23-12-2023,Fulham,0 - 2,Burnley
26-12-2023,Bournemouth,3 - 0,Fulham
31-12-2023,Fulham,02-Jan,Arsenal
13-01-2024,Chelsea,1 - 0,Fulham
30-01-2024,Fulham,0 - 0,Everton
03-02-2024,Burnley,02-Feb,Fulham
10-02-2024,Fulham,03-Jan,Bournemouth
17-02-2024,Fulham,01-Feb,Aston Villa
24-02-2024,Man United,01-Feb,Fulham
02-03-2024,Fulham,3 - 0,Brighton
09-03-2024,Wolves,02-Jan,Fulham
16-03-2024,Fulham,3 - 0,Tottenham
30-03-2024,Sheffield United,03-Mar,Fulham
02-04-2024,Nott'm Forest,03-Jan,Fulham
06-04-2024,Fulham,0 - 1,Newcastle
14-04-2024,West Ham,0 - 2,Fulham
21-04-2024,Fulham,01-Mar,Liverpool
27-04-2024,Fulham,01-Jan,Crystal Palace
04-05-2024,Brentford,0 - 0,Fulham
11-05-2024,Fulham,0 - 4,Man City
19-05-2024,Luton,02-Apr,Fulham
13-08-2023,Chelsea,01-Jan,Liverpool
19-08-2023,Liverpool,03-Jan,Bournemouth
27-08-2023,Newcastle,01-Feb,Liverpool
03-09-2023,Liverpool,3 - 0,Aston Villa
16-09-2023,Wolves,01-Mar,Liverpool
24-09-2023,Liverpool,03-Jan,West Ham
30-09-2023,Tottenham,02-Jan,Liverpool
08-10-2023,Brighton,02-Feb,Liverpool
21-10-2023,Liverpool,2 - 0,Everton
29-10-2023,Liverpool,3 - 0,Nott'm Forest
05-11-2023,Luton,01-Jan,Liverpool
12-11-2023,Liverpool,3 - 0,Brentford
25-11-2023,Man City,01-Jan,Liverpool
03-12-2023,Liverpool,04-Mar,Fulham
06-12-2023,Sheffield United,0 - 2,Liverpool
09-12-2023,Crystal Palace,01-Feb,Liverpool
17-12-2023,Liverpool,0 - 0,Man United
23-12-2023,Liverpool,01-Jan,Arsenal
26-12-2023,Burnley,0 - 2,Liverpool
01-01-2024,Liverpool,04-Feb,Newcastle
21-01-2024,Bournemouth,0 - 4,Liverpool
31-01-2024,Liverpool,04-Jan,Chelsea
04-02-2024,Arsenal,03-Jan,Liverpool
10-02-2024,Liverpool,03-Jan,Burnley
17-02-2024,Brentford,01-Apr,Liverpool
21-02-2024,Liverpool,04-Jan,Luton
02-03-2024,Nott'm Forest,0 - 1,Liverpool
10-03-2024,Liverpool,01-Jan,Man City
31-03-2024,Liverpool,02-Jan,Brighton
04-04-2024,Liverpool,03-Jan,Sheffield United
07-04-2024,Man United,02-Feb,Liverpool
14-04-2024,Liverpool,0 - 1,Crystal Palace
21-04-2024,Fulham,01-Mar,Liverpool
24-04-2024,Everton,2 - 0,Liverpool
27-04-2024,West Ham,02-Feb,Liverpool
05-05-2024,Liverpool,04-Feb,Tottenham
13-05-2024,Aston Villa,03-Mar,Liverpool
19-05-2024,Liverpool,2 - 0,Wolves
12-08-2023,Brighton,04-Jan,Luton
25-08-2023,Chelsea,3 - 0,Luton
01-09-2023,Luton,01-Feb,West Ham
16-09-2023,Fulham,1 - 0,Luton
23-09-2023,Luton,01-Jan,Wolves
30-09-2023,Everton,01-Feb,Luton
03-10-2023,Luton,01-Feb,Burnley
07-10-2023,Luton,0 - 1,Tottenham
21-10-2023,Nott'm Forest,02-Feb,Luton
29-10-2023,Aston Villa,03-Jan,Luton
05-11-2023,Luton,01-Jan,Liverpool
11-11-2023,Man United,1 - 0,Luton
25-11-2023,Luton,02-Jan,Crystal Palace
02-12-2023,Brentford,03-Jan,Luton
05-12-2023,Luton,03-Apr,Arsenal
10-12-2023,Luton,01-Feb,Man City
23-12-2023,Luton,1 - 0,Newcastle
26-12-2023,Sheffield United,02-Mar,Luton
30-12-2023,Luton,02-Mar,Chelsea
12-01-2024,Burnley,01-Jan,Luton
30-01-2024,Luton,4 - 0,Brighton
03-02-2024,Newcastle,04-Apr,Luton
10-02-2024,Luton,01-Mar,Sheffield United
18-02-2024,Luton,01-Feb,Man United
21-02-2024,Liverpool,04-Jan,Luton
02-03-2024,Luton,02-Mar,Aston Villa
09-03-2024,Crystal Palace,01-Jan,Luton
13-03-2024,Bournemouth,04-Mar,Luton
16-03-2024,Luton,01-Jan,Nott'm Forest
30-03-2024,Tottenham,02-Jan,Luton
03-04-2024,Arsenal,2 - 0,Luton
06-04-2024,Luton,02-Jan,Bournemouth
13-04-2024,Man City,05-Jan,Luton
20-04-2024,Luton,01-May,Brentford
27-04-2024,Wolves,02-Jan,Luton
03-05-2024,Luton,01-Jan,Everton
11-05-2024,West Ham,03-Jan,Luton
19-05-2024,Luton,02-Apr,Fulham
11-08-2023,Burnley,0 - 3,Man City
19-08-2023,Man City,1 - 0,Newcastle
27-08-2023,Sheffield United,01-Feb,Man City
02-09-2023,Man City,05-Jan,Fulham
